epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.046,1.49781,2.29529,1.35126,0.53906,0.38583,0.38854,0.20475,1.46022,1.46215,1.2919,0.000221754,0.000221754,0.000221754
2,387.365,1.46405,1.55793,1.31644,0.60149,0.42103,0.44372,0.235,1.44094,1.37797,1.30169,0.000435295,0.000435295,0.000435295
3,574.41,1.46604,1.46717,1.31472,0.63213,0.44864,0.47447,0.25064,1.45534,1.29847,1.28577,0.000640031,0.000640031,0.000640031
4,763.721,1.44634,1.40812,1.30884,0.6504,0.44221,0.48264,0.26066,1.41718,1.2591,1.27273,0.00062738,0.00062738,0.00062738
5,950.124,1.44256,1.33639,1.29597,0.66369,0.47704,0.5148,0.27608,1.40787,1.18016,1.25967,0.000614174,0.000614174,0.000614174
6,1135.07,1.41367,1.27873,1.27968,0.69138,0.47084,0.51612,0.28165,1.41155,1.17633,1.26107,0.000600967,0.000600967,0.000600967
7,1320.65,1.39781,1.2459,1.26958,0.7145,0.49043,0.53931,0.29809,1.35905,1.12593,1.22256,0.00058776,0.00058776,0.00058776
8,1507.14,1.37964,1.20436,1.25759,0.72199,0.49233,0.5438,0.30312,1.34373,1.08318,1.22268,0.000574554,0.000574554,0.000574554
9,1691.62,1.37298,1.18807,1.25612,0.7333,0.49686,0.55829,0.31157,1.32733,1.04752,1.20703,0.000561347,0.000561347,0.000561347
10,1877.31,1.34938,1.14731,1.24037,0.7258,0.51365,0.56915,0.3263,1.28826,1.00096,1.18526,0.000548141,0.000548141,0.000548141
11,2063.17,1.34057,1.1279,1.23398,0.7373,0.51676,0.57448,0.32647,1.29755,0.99414,1.18708,0.000534934,0.000534934,0.000534934
12,2249.11,1.3357,1.10302,1.23006,0.74316,0.526,0.58197,0.33562,1.27061,0.9685,1.17142,0.000521727,0.000521727,0.000521727
13,2436.14,1.31789,1.08038,1.21954,0.75487,0.53212,0.59088,0.34139,1.27739,0.94052,1.1712,0.000508521,0.000508521,0.000508521
14,2622.48,1.3112,1.06988,1.21424,0.751,0.52504,0.58336,0.33762,1.26688,0.95381,1.17012,0.000495314,0.000495314,0.000495314
15,2809.45,1.30936,1.05856,1.21115,0.74667,0.53353,0.58877,0.34069,1.25178,0.92635,1.15895,0.000482108,0.000482108,0.000482108
